LAT,LON,UTCTIMESOD,THICK,ELEVATION,FRAME,SURFACE,BOTTOM,QUALITY
-65.394094,98.806931,10038.0912,  0.00,1714.7758,2019111501001,1714.53,1714.53,1
-65.394125,98.806619,10038.1996,  0.00,1713.5292,2019111501001,1712.16,1712.16,1
-65.394157,98.806306,10038.3080,  0.00,1712.2841,2019111501001,1709.38,1709.38,1
-65.394188,98.805994,10038.4164,  0.00,1711.0402,2019111501001,1707.68,1707.68,1
-65.394220,98.805681,10038.5248,  0.00,1709.7976,2019111501001,1707.20,1707.20,1
-65.394251,98.805369,10038.6332,  0.00,1708.5562,2019111501001,1707.15,1707.15,1
-65.394282,98.805056,10038.7415,  0.00,1707.3161,2019111501001,1707.15,1707.15,1
-65.394314,98.804744,10038.8499,  0.00,1706.0771,2019111501001,1707.15,1707.15,1
-65.394345,98.804431,10038.9582,  0.00,1704.8394,2019111501001,1707.15,1707.15,1
-65.394377,98.804118,10039.0665,  0.00,1703.6029,2019111501001,1707.15,1707.15,1
-65.394408,98.803806,10039.1748,  0.00,1702.3678,2019111501001,1706.93,1706.93,1
-65.394439,98.803493,10039.2831,  0.00,1701.1345,2019111501001,1705.64,1705.64,1
-65.394471,98.803181,10039.3914,  0.00,1699.9028,2019111501001,1703.13,1703.13,1
-65.394502,98.802868,10039.4996,  0.00,1698.6730,2019111501001,1700.48,1700.48,1
-65.394534,98.802555,10039.6079,  0.00,1697.4449,2019111501001,1699.15,1699.15,1
-65.394565,98.802243,10039.7161,  0.00,1696.2187,2019111501001,1698.85,1698.85,1
-65.394596,98.801930,10039.8244,  0.00,1694.9942,2019111501001,1698.82,1698.82,1
-65.394628,98.801617,10039.9326,  0.00,1693.7713,2019111501001,1698.82,1698.82,1
-65.394659,98.801305,10040.0408,  0.00,1692.5503,2019111501001,1698.82,1698.82,1
-65.394691,98.800992,10040.1490,  0.00,1691.3308,2019111501001,1698.82,1698.82,1
-65.394722,98.800680,10040.2572,  0.00,1690.1132,2019111501001,1698.82,1698.82,1
-65.394753,98.800367,10040.3653,  0.00,1688.8975,2019111501001,1698.47,1698.47,1
-65.394785,98.800054,10040.4735,  0.00,1687.6837,2019111501001,1696.85,1696.85,1
-65.394816,98.799742,10040.5817,  0.00,1686.4715,2019111501001,1694.20,1694.20,1
-65.394847,98.799429,10040.6898,  0.00,1685.2609,2019111501001,1691.75,1691.75,1
-65.394879,98.799116,10040.7979,  0.00,1684.0516,2019111501001,1690.67,1690.67,1
-65.394910,98.798804,10040.9061,  0.00,1682.8438,2019111501001,1690.50,1690.50,1
-65.394941,98.798491,10041.0142,  0.00,1681.6370,2019111501001,1690.50,1690.50,1
-65.394973,98.798178,10041.1223,  0.00,1680.4315,2019111501001,1690.50,1690.50,1
-65.395004,98.797865,10041.2304,  0.00,1679.2271,2019111501001,1690.50,1690.50,1
-65.395036,98.797553,10041.3384,  0.00,1678.0239,2019111501001,1690.50,1690.50,1
-65.395067,98.797240,10041.4465,  0.00,1676.8217,2019111501001,1690.48,1690.48,1
-65.395098,98.796927,10041.5545,  0.00,1675.6207,2019111501001,1689.98,1689.98,1
-65.395130,98.796615,10041.6626,  0.00,1674.4206,2019111501001,1688.10,1688.10,1
-65.395161,98.796302,10041.7706,  0.00,1673.2214,2019111501001,1685.38,1685.38,1
-65.395193,98.795989,10041.8786,  0.00,1672.0232,2019111501001,1683.22,1683.22,1
-65.395224,98.795677,10041.9867,  0.00,1670.8257,2019111501001,1682.32,1682.32,1
-65.395255,98.795364,10042.0947,  0.00,1669.6290,2019111501001,1681.87,1681.87,1
-65.395287,98.795051,10042.2027,  0.00,1668.4330,2019111501001,1680.53,1680.53,1
-65.395318,98.794739,10042.3106,  0.00,1667.2378,2019111501001,1678.05,1678.05,1
-65.395350,98.794426,10042.4186,  0.00,1666.0436,2019111501001,1675.49,1675.49,1
-65.395381,98.794113,10042.5266,  0.00,1664.8503,2019111501001,1674.15,1674.15,1
-65.395412,98.793801,10042.6345,  0.00,1663.6579,2019111501001,1673.74,1673.74,1
-65.395444,98.793488,10042.7425,  0.00,1662.4659,2019111501001,1672.92,1672.92,1
-65.395475,98.793175,10042.8504,  0.00,1661.2745,2019111501001,1670.86,1670.86,1
-65.395507,98.792863,10042.9583,  0.00,1660.0833,2019111501001,1668.23,1668.23,1
-65.395538,98.792550,10043.0662,  0.00,1658.8926,2019111501001,1666.35,1666.35,1
-65.395570,98.792237,10043.1741,  0.00,1657.7020,2019111501001,1665.63,1665.63,1
-65.395601,98.791925,10043.2820,  0.00,1656.5120,2019111501001,1665.12,1665.12,1
-65.395633,98.791612,10043.3899,  0.00,1655.3224,2019111501001,1663.54,1663.54,1
-65.395664,98.791299,10043.4978,  0.00,1654.1334,2019111501001,1660.94,1660.94,1
-65.395696,98.790987,10043.6057,  0.00,1652.9452,2019111501001,1658.58,1658.58,1
-65.395727,98.790674,10043.7135,  0.00,1651.7574,2019111501001,1657.43,1657.43,1
